,ABCC1,ABL1,AKT1,ALOX5,APP,BCL2,CA3,CAPN2,CD38,CDK1,ERN1,EZH2,G6PD,HDAC2,HDAC6,HIF1A,HMOX1,IL6,JAK2,MAP2K1,MAPK8,MAPK9,MDM2,MMP2,NFE2L2,NFKB1,NOS3,NQO1,PARP1,PDGFRA,PPIA,PRKCA,PRKCD,PTGS2,RELA,SPHK1,SRC,XBP1,Type
GSM2371038,5.37229893128524,6.06380641987863,6.01614836798965,5.16121279845446,9.21939819063473,1.86032250330523,-1.048176929,7.69210743645883,2.79894999977579,-0.280656102,4.00351097767666,0.450629954444307,3.05228474857481,4.90407403948966,4.98469504224465,7.08577010420711,5.41043357082015,-2.585681097,5.8190517243037,4.70178932256627,3.15853678496217,4.54270578144005,7.00897423317217,7.21077270402331,6.76109540424075,4.92142531950517,1.83307654934552,3.30784587537935,5.35643937788371,8.41259214581872,8.30866302243462,4.91710702435148,3.98712485182445,1.34712563874084,4.44110205344288,1.4463555794576,2.70187888977335,7.22241297120896,1
GSM2371039,6.40744955961432,6.29743379405325,6.34412332974889,6.10283190243886,8.10285561351826,4.17166617214612,-2.362277159,6.75054509500242,4.9565749957396,2.96181916317966,5.0279906390109,3.76804887016395,4.43587076861792,4.49575055402196,5.69996492548795,7.22890778037527,6.95197606229145,1.73226260480313,6.51635429944134,5.01650556019371,2.635823486,4.34863025689036,6.76278264768207,9.74763184137381,6.25408096908736,5.8492717564788,3.28438356930199,2.12343847662743,7.11945475348147,8.43616081790949,7.88246264293181,5.33585906445899,5.38864841172093,0.683123435871877,4.98792108846706,2.95745752453571,4.33692501802454,9.69116556273429,1
GSM2371040,5.02603156599312,6.46963650717973,5.70864761383421,3.78050557529347,9.26179902073813,5.34167335739602,2.00961404380653,7.53724956207105,-0.589312935,0.167519226862887,3.37266584928215,0.830318021885545,3.65610872240838,4.92390045492563,5.13849822417177,6.12662649230802,3.65360814391938,-4.227797283,5.60956118913993,4.8004851198734,3.12080539172313,4.74753390162009,6.27919544390705,7.87883273004112,6.55149744240905,5.23699362252815,2.81547760549334,4.36283393933712,5.53204042648803,8.79831696211065,7.00575065704503,4.3240471705445,4.59689087252685,0.916274759551584,4.5492573322596,2.09318619086686,3.48663481952926,5.58942368943638,1
GSM2371041,5.79614802417793,6.12269534323528,5.55587362437477,5.65054324631313,8.88702285597308,4.7248970834286,-0.586553863,7.08898872281813,3.21611752455589,2.01257404071887,3.93218334659916,2.893288749,3.39827804155885,4.96309806400657,4.80611393662634,7.91346371101986,4.61799163396276,0.325350662572255,6.73209430679151,4.44451793186432,3.04821743684265,4.71651815650149,6.79280061451918,9.74936836038809,6.63947185207183,5.62166751870841,2.63331506293836,2.59116163967869,6.26881594049793,8.65176713912155,7.5408700037371,5.48117626375274,4.20998037600147,1.55459405838496,4.59836469792285,2.19251156653839,3.53797344617033,8.53680169469898,1
GSM2371042,4.92186842482655,5.79436406304545,5.75307991688599,2.79425198792615,7.89384183908091,5.77671384107596,4.10837613150555,7.89580536272417,1.75427645314078,1.67111959355234,2.74281910065427,1.56981596617922,3.2149245881342,4.70758475618018,5.13856439179879,5.98657250886625,2.71343256260081,-2.40859958,6.0478968628847,4.67898511510253,3.42166780573643,4.74727515709501,6.42899014789611,7.12637106641874,6.0437706253712,4.78731377689531,3.49603590638818,4.65908507591186,5.4316891615773,7.03875103406599,7.44852339898548,4.67441710142226,4.21497243414761,2.64659463090309,4.03425400106957,3.08327143959282,2.83302495443438,5.07181745898197,1
GSM2371043,4.98865580055272,5.90155745148314,6.0267999991046,3.96117736307432,8.21089074437597,5.68965661861051,3.28190375104664,8.03274621774751,1.37592870171231,0.511558520704754,2.73704062759348,1.61718199475393,3.18887721355228,4.73079921745877,4.99985633183238,6.21112267293536,4.74297010511888,-2.408562634,5.93004812,5.24033807039497,3.16012102969907,4.94612510207574,6.4421644232014,7.1091781157311,6.42753430006531,4.92170575643105,1.80536037692024,4.96910222154752,5.49254669451803,8.32022636746894,7.99901831815899,4.0422065549223,4.77057952096843,0.958273420046346,4.10201614725836,1.46090867604893,2.79430314713616,5.84734711645419,1
GSM2371044,5.12829204350851,5.38768853095528,5.79592415361458,6.06943848199738,8.27730263349759,4.46341776519162,-0.862219456,7.7453576141692,3.58195368090036,2.21833624701393,3.33262917081174,2.90357660526567,3.16211302108493,4.91868154827123,4.98904776087527,7.52759157787708,6.39641764667756,0.477568099155949,6.74150030935001,4.78379955731647,3.27263599162041,4.68187617790093,6.57794815578961,8.66070057179582,6.39900446595668,5.68219709331372,2.11423619316826,3.18284814973427,5.96057584030261,8.01116108174068,7.9412576110679,5.34922386136079,4.33190031074468,1.54882741663393,4.12067415142059,2.7545643997333,3.25642471561246,8.58790893732299,1
GSM2371045,5.49464857505454,5.71924019131048,6.04380290259356,5.4450305157319,8.81931555075491,2.90452455901452,-0.366966496,8.42148407584227,1.59538822871999,2.32212514078666,3.08358312124358,2.06062640158596,3.33366787439206,4.81417655764472,5.02199894664395,6.90679748683525,5.7983216922679,-4.227797283,6.04614020163461,4.89937921352116,3.07902477823705,4.58743388462381,6.7578990036622,7.49165326185289,6.41505435795083,5.16219905954537,1.84130693755004,4.04203999492198,5.58422414737002,8.86065249615221,8.34950160224677,5.5209341435963,4.33176131496122,1.0419705059498,4.18888234390483,1.44762877226195,2.95515138515483,6.4503364313524,1
GSM2371046,5.23995518062666,5.8119106423823,5.85110622306206,5.5297916743147,8.75549363282678,4.60906373324308,2.23107825507121,7.95094550174089,0.437101324113472,-0.507118821,3.02643293469396,0.867703379233568,3.09239526761521,4.85802753889056,5.15534537812581,6.25215281023953,5.2408109324473,-2.411911973,5.88324896287636,4.77066091820106,3.15909905520956,4.50605666685503,6.26777074711821,7.32711873648414,6.33703248649027,5.07605032656124,2.54002153833866,3.31023991109042,5.50792026982241,8.31544971553013,8.00735111967329,4.96960570931907,4.39666221538026,0.4130077564193,4.22046142721911,2.04763700787554,3.15183800925044,5.63443540436592,1
GSM2371047,4.82490205121406,5.9474051769214,5.86883782561188,5.19732633575233,9.51903629629687,4.57600820642146,0.691985052414309,7.60119800133523,1.44035697431244,1.29006359719117,3.40900824810448,2.04598938534664,3.14808508333796,4.97576332147605,5.16628246886629,7.23368077827013,4.83110087342699,-0.645725583,6.25555089121236,4.54315672353522,3.11595126292375,4.5310227968729,6.30493380807209,7.89354784673799,6.73004783726476,5.37329721903892,2.54551066204627,4.32683998324341,5.62664451754596,9.27294211128891,7.81190591494059,4.30740794467772,4.08477439587962,1.29006359719117,4.54617432611884,2.03743684279105,2.60460058589576,6.58169587381884,1
GSM2371048,5.94226644879281,6.62806598316968,6.07484404220882,5.21775583881818,9.33239595199995,4.87048897831785,-1.443704874,7.64476811009007,3.13750709857807,0.993675665749508,4.39435089241209,2.68188825985691,3.89740765555632,3.98590840788997,5.29677120330896,5.80304384588048,4.75630680890777,-2.248131386,5.66689560715398,4.35980621485171,2.47999358057484,4.44899574866787,6.22583578692218,9.4540583840662,6.04196440225023,5.39431672935875,1.86436213917609,3.26873743364908,6.17706609271231,9.06977217234104,6.80167698280301,5.00716591328653,4.88462638123572,0.269780629764527,4.59683480892267,2.39635102752829,4.2725777387534,7.6261476216757,1
GSM2371049,4.72605867392452,5.38881997070508,6.20048423773674,6.03629687467477,9.55783597993454,3.40907522459009,-1.780282367,7.62348463047303,2.21274496177166,1.2556191184896,2.67009109955534,2.04908687900779,3.13512029802307,5.22423148558768,5.00676196991381,6.7839662729025,6.02245210210413,-3.371842809,6.27445366927144,4.85340785044246,3.25101538335175,4.7939508602598,6.35551715146247,7.51940652107151,6.75134200518101,5.65328394830277,2.09360217433324,3.2608081495672,5.95015395153711,8.63823608232429,8.4914796821188,4.26004463171785,4.14666386114929,1.43930807851436,3.99063907463891,1.39256539553905,1.97169927785863,6.69587491980059,1
